#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
cisne	6.95	2.45	6.59	6.68	5.57	4.90
civilización	6.25	4.05	5.09	4.78	5.04	5.25
claridad	6.70	2.95	2.77	2.65	3.32	5.62
clase	5.41	4.41	4.55	6.20	6.14	6.81
cliente	5.82	4.75	4.75	5.38	5.82	6.48
clima	5.90	3.40	2.90	4.15	5.35	6.17
cobarde	2.91	5.73	4.77	2.90	4.68	5.35
cocaína	2.25	5.33	6.82	5.86	5.90	5.09
coche	5.82	5.65	6.14	6.91	6.65	6.86
coco	5.73	3.59	5.90	6.71	5.50	5.73
cocodrilo	3.85	6.85	6.95	6.75	5.00	5.68
codicia	2.74	6.05	2.85	2.45	2.14	3.95
código	4.71	3.90	3.75	4.81	5.00	5.68
codo	4.64	3.62	6.45	6.96	4.77	6.62
coito	7.43	7.86	5.95	5.60	5.64	5.38
cojo	3.31	5.00	5.19	5.50	4.45	5.90
cola	4.07	4.70	3.00	5.62	4.76	6.09
colaboración	7.45	4.91	3.26	3.70	4.83	5.77
colapso	3.25	6.43	3.45	3.09	4.95	4.64
cólera	3.05	7.00	4.05	2.67	3.68	4.38
colonia	6.43	4.41	4.95	6.20	5.90	6.59
columna	4.91	3.60	5.10	6.77	5.15	6.29
coma	2.81	3.95	3.90	5.86	5.10	6.24
comadrona	7.00	5.45	6.74	5.87	4.64	3.10
combinación	5.45	3.70	3.09	1.77	3.68	4.68
comedor	5.73	4.45	5.81	6.05	5.80	6.59
comentario	5.21	4.86	3.80	3.40	4.90	6.45
comercio	5.40	4.77	3.73	5.50	6.10	5.86
cometa	6.26	3.30	5.40	6.19	6.18	5.15
comodidad	7.36	1.60	2.80	3.35	5.77	6.50
compasión	4.30	4.23	2.25	2.48	4.41	6.10
complacer	7.27	4.60	3.64	2.48	5.04	5.81
complejo	3.91	5.45	2.76	2.86	3.30	5.60
complicación	2.25	7.59	2.40	1.77	4.83	5.68
compositora	6.31	4.00	5.62	3.25	4.32	5.00
compromiso	6.39	6.14	3.52	3.38	5.64	5.76
comunicación	7.25	4.09	3.17	4.61	5.70	6.32
comunidad	6.59	4.00	3.67	3.27	5.32	5.14
concesionario	5.54	4.25	6.10	6.60	5.14	5.27
conciencia	6.65	4.80	3.05	1.62	3.55	6.14
concurso	5.95	6.00	3.38	4.95	5.27	5.75
condena	2.48	6.23	3.45	3.20	5.05	4.15
condenado	1.92	6.75	4.71	4.25	4.05	4.38
condesa	4.70	4.45	5.43	4.68	3.27	3.91
condición	4.79	5.43	2.27	1.45	3.05	5.95
condón	6.60	5.64	6.82	6.81	6.48	6.43
conducto	4.80	4.14	4.52	5.70	3.95	4.05
conductor	5.29	4.96	4.14	5.43	6.19	6.65
conferencia	5.30	3.59	4.80	5.20	5.55	5.30
conflicto	2.27	7.65	2.95	3.76	5.04	5.73
conjunto	5.32	4.65	2.15	2.55	3.33	5.65
conjuro	4.91	5.20	3.70	3.05	4.04	3.76
conquista	6.14	6.05	3.95	3.05	5.00	5.55
consejo	5.85	4.05	3.95	2.14	4.60	6.62
consolador	5.73	6.10	4.86	6.25	4.77	4.95
conspiración	3.41	5.65	3.50	2.65	2.50	4.23
contaminación	1.90	6.55	4.30	5.70	5.78	6.30
contenido	5.14	3.95	3.50	2.09	3.50	5.70
contexto	5.23	4.32	2.59	2.30	3.14	5.75
contrariedad	3.27	6.05	2.50	1.77	3.42	4.45
contrincante	3.95	6.70	5.61	2.45	3.86	4.76
convivir	6.95	5.05	4.39	4.65	5.52	6.19
copa	5.70	4.36	6.00	6.65	6.75	6.45
coral	5.71	3.95	5.09	5.82	5.15	4.80
corazón	7.05	5.50	5.41	6.55	6.25	6.75
corbata	4.96	4.40	6.68	6.91	6.55	5.91
corcho	5.05	3.73	6.30	6.14	5.23	5.67
cordero	5.24	4.05	6.41	6.55	5.14	5.95
corrección	4.86	5.14	3.29	2.77	4.68	5.87
corredor	4.82	4.91	4.86	6.14	4.10	4.90
corredora	5.46	4.48	4.32	5.10	4.10	5.48
corte	3.14	6.55	3.81	4.91	5.40	6.35
corteza	4.62	3.82	4.27	5.14	4.50	6.09
costo	4.48	4.59	3.19	2.68	3.45	4.78
costumbre	5.10	3.27	3.09	2.00	4.59	6.00
cráneo	4.95	5.25	6.60	5.95	5.41	5.77
creación	7.00	6.15	1.82	2.62	4.75	4.76
creatividad	8.14	5.95	3.00	2.10	5.50	5.52
crecimiento	7.26	5.55	3.45	3.13	5.41	6.55
creencia	5.50	4.15	3.05	2.20	4.00	5.25
crisis	1.76	7.43	3.45	3.95	5.40	6.45
cristal	5.00	4.04	4.05	6.48	4.90	6.10
criterio	6.39	4.73	1.90	1.41	3.00	6.30
crucero	7.38	5.05	5.65	5.91	6.60	5.91
crucifijo	3.50	5.14	6.41	6.19	4.70	5.05
crucifixión	2.18	6.95	3.90	5.50	3.55	3.14
crueldad	1.14	7.50	3.75	2.65	3.78	5.50
cruz	3.85	4.00	5.75	6.70	5.04	5.81
cuaderno	5.14	4.25	6.14	6.81	5.50	6.32
cuadrado	4.90	3.45	5.59	6.70	4.95	6.27
cuadro	5.45	3.68	5.55	6.80	5.40	6.32
cuarto	5.12	3.60	4.10	4.85	5.18	6.68
cubo	4.90	3.36	5.64	6.75	5.50	6.18
cuchillo	4.30	5.75	6.73	6.86	6.23	6.83
cuenco	4.78	3.65	5.73	6.74	5.27	5.27
cuervo	4.19	5.14	6.65	6.65	4.14	5.18
cuestión	5.00	5.00	2.30	2.73	3.33	6.55
cueva	4.78	5.40	6.41	6.68	5.32	5.43
culebra	3.57	6.60	6.30	6.20	3.87	4.40
culpabilidad	1.82	6.20	3.75	2.10	4.39	5.50
culto	6.64	3.60	2.23	3.67	4.60	5.19
cumpleaños	7.80	7.00	5.59	6.00	6.41	6.61
curación	7.55	3.05	3.41	3.25	4.35	5.05
curandera	4.65	5.05	4.71	4.55	4.23	3.59
curandero	5.15	4.40	5.38	3.75	4.05	3.82
curso	5.05	4.95	3.14	3.17	6.35	6.36
dama	5.36	4.29	4.76	5.90	3.95	4.05
década	5.00	4.82	5.65	2.70	3.41	5.90
decadencia	2.25	5.24	2.36	2.48	3.15	4.24
declive	3.67	4.76	2.91	1.83	2.55	3.68
decoro	5.27	3.45	3.78	2.87	3.45	2.76
dedo	4.90	4.27	6.64	6.80	5.91	6.87
defecto	3.43	5.64	3.29	2.36	4.45	6.05
degeneración	2.13	6.05	2.86	2.41	3.00	4.33
degradación	2.63	5.10	3.10	2.45	2.60	5.05
delantal	5.52	3.30	6.60	6.68	5.68	5.67
delirio	3.25	6.29	3.30	2.00	3.15	4.71
dependienta	5.20	4.60	4.38	6.41	6.45	5.86
deportista	6.27	5.75	4.95	5.95	5.86	6.62
depresión	2.20	5.81	2.50	3.68	5.15	6.18
derecha	4.95	4.38	5.14	3.82	4.95	6.73
desafío	5.77	6.95	3.25	2.20	3.83	5.60
desagrado	2.22	7.20	2.55	3.14	3.14	4.80
desahogo	6.23	3.45	3.90	2.33	4.13	4.95
desánimo	1.75	4.05	3.15	2.50	4.70	5.85
desaparecer	2.96	5.68	3.35	3.52	4.73	5.86
desaparición	1.86	7.50	3.35	2.45	5.05	4.81
descenso	3.09	4.95	3.55	3.52	3.79	5.75
desconfianza	2.40	7.27	2.41	1.91	4.00	5.87
desconsuelo	2.21	5.38	2.36	2.95	3.50	4.35
descontento	1.91	5.41	3.57	2.87	4.82	5.00
deseo	7.30	7.05	2.90	2.60	5.36	6.55
desesperado	2.25	6.86	4.78	4.39	5.18	5.73
desgaste	3.25	4.82	3.43	3.59	3.57	5.75
desierto	3.96	3.09	5.38	6.68	6.41	6.05
desigualdad	1.55	5.95	2.35	3.40	4.30	5.25
desolación	1.74	6.45	3.82	3.00	2.95	4.80
desorden	2.91	7.50	4.19	4.68	6.09	6.15
despacho	4.81	4.09	6.38	6.55	5.64	6.15
despilfarro	3.48	6.45	3.10	3.15	4.41	4.86
desprecio	1.55	6.30	3.25	2.90	3.95	5.64
despreocupado	5.55	3.65	3.95	2.67	3.55	5.74
destino	5.83	5.80	2.36	2.43	4.77	5.43
destreza	6.73	3.90	3.20	1.73	4.27	5.30
destrucción	1.55	7.50	3.70	4.55	4.52	5.14
desván	5.09	5.00	6.05	5.57	5.05	5.24
desviación	4.27	4.43	2.82	3.00	3.59	5.09
detergente	5.09	4.20	6.32	5.95	6.18	6.09
deterioro	2.18	5.45	2.70	3.35	4.00	4.27
